Id	Description	Qty	Unit	Designators
1	Cable, 1 x 16 AWG	0	m	1P_FlGND, 1P_FlPWR, 1P_WtrGND, 1P_WtrPWR, BIGN_GND, CIGN_1, CIGN_1in, CIGN_2, CIGN_2in, CIGN_3, CIGN_3in, CIGN_4, CIGN_4in, CPWR_1, CPWR_2, CPWR_3, CPWR_4
2	Connector, Bosch 0 227 100 211 (Ignition Module), 5 pins	1		BSCH_IGN
3	Connector, Chassis Ground, 1 pins	1		CHAS_GND
4	Connector, Deutsch HDP26-18-14SE, male, 14 pins	1		BULKHEAD_B
5	Connector, MoTeC ECUA 34P, female, 34 pins	1		ECUA
6	Connector, MoTeC ECUB 26P, female, 26 pins	1		ECUB
7	Connector, MoTeC ECUC 34P, female, 34 pins	1		ECUC
8	Connector, MoTeC ECUD 26P, female, 26 pins	1		ECUD
9	Connector, MoTeC PDMA 34P, female, 34 pins	1		PDMA
10	Connector, MoTeC PDMB, female, 26 pins	1		PDMB
