Id	Description	Qty	Unit	Designators
1	Cable, 1 x 16 AWG	0	m	PDMA_ChGND26
2	Cable, 1 x 22 AWG	0	m	1P_CrnkCsPSig, 1P_ShftDrmPos, 1P_ShftLevPos
3	Cable, 2 x 16 AWG	0	m	2P_Lambda_PG1, 2P_Lambda_PG2
4	Cable, 2 x 22 AWG	0	m	2P_Sens1Cmn_GP, 2P_ShftPos_PWR
5	Cable, 3 x 22 AWG	0	m	3P_Lambda_Signals1, 3P_Lambda_Signals2
6	Cable, 4 x 22 AWG	0	m	4P_DashComms, 4P_ECUComms
7	Cable, 5 x 22 AWG	0	m	5P_Accelmtr
8	Connector	2		NOTES, NOTES2
9	Connector, AMPHENOL HDP 47P, female, 47 pins	1		BULKHEAD_C
10	Connector, Chassis Ground, 1 pins	1		CHAS_GND
11	Connector, Lambda Connector, male-Bulkhead-Pass-Through, 5 pins	2		Lambda_Module1, Lambda_Module2
12	Connector, MoTeC DASH 34P, female, 34 pins	1		DASH
13	Connector, MoTeC ECUA 34P, female, 34 pins	1		ECUA
14	Connector, MoTeC ECUB 26P, female, 26 pins	1		ECUB
15	Connector, MoTeC ECUC 34P, female, 34 pins	1		ECUC
16	Connector, MoTeC ECUD 26P, female, 26 pins	1		ECUD
17	Connector, MoTeC PDMA 34P, female, 34 pins	1		PDMA
